Instance, Best_Cost
max-realizability_wt-power-distribution_3_7.wcnf.xz.xz,1
max-realizability_wt-power-distribution_3_8.wcnf.xz.xz,1
IMLIB-depressed_81_60_16_1_7_5.wcnf.xz.xz,2
IMLIB-pima_44_27_16_1_6_5.wcnf.xz.xz,2
IMLIB-transfusion_85_8_8_1_2_5.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N10_H60_0.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N10_H60_1.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N10_H60_2.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N6_H21_1.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N6_H21_3.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N7_H29_1.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N7_H29_2.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N7_H29_3.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N7_H29_4.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N8_H38_1.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N8_H38_4.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N9_H48_1.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N9_H48_2.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N9_H48_3.wcnf.xz.xz,2
qcp_wt-file_qc_wcnf_N9_H48_4.wcnf.xz.xz,2
spot5_wt-8.wcsp.log.wcnf.xz.xz,2
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf.xz.xz,2
timetabling_wt-EA12.lp.sm-extracted.wcnf.xz.xz,2
max-realizability_wt-power-distribution_1_7.wcnf.xz.xz,3
preference_planning_wt-WCNF_pathways_p02.wcnf.xz.xz,3
preference_planning_wt-WCNF_storage_p01.wcnf.xz.xz,3
timetabling_wt-comp07.lp.sm-extracted.wcnf.xz.xz,3
IMLIB-depressed_81_6_16_1_7_5.wcnf.xz.xz,4
IMLIB-depressed_81_62_16_1_7_5.wcnf.xz.xz,4
IMLIB-pima_44_13_16_1_6_5.wcnf.xz.xz,4
IMLIB-pima_44_24_16_1_6_5.wcnf.xz.xz,4
IMLIB-pima_44_4_16_1_6_5.wcnf.xz.xz,4
IMLIB-pima_44_42_15_1_6_5.wcnf.xz.xz,4
IMLIB-wdbc_32_16_16_1_2_5.wcnf.xz.xz,4
timetabling_wt-comp10.wcnf.xz.xz,4
IMLIB-ionosphere_40_11_8_2_2_5.wcnf.xz.xz,5
IMLIB-transfusion_85_7_8_1_2_5.wcnf.xz.xz,5
preference_planning_wt-WCNF_storage_p02.wcnf.xz.xz,5
haplotyping-pedigrees_wt-ped2.B.recomb1-0.01-3.wcnf.xz.xz,6
IMLIB-depressed_81_48_16_1_7_5.wcnf.xz.xz,6
IMLIB-depressed_81_55_16_1_7_5.wcnf.xz.xz,6
IMLIB-depressed_81_61_16_1_7_5.wcnf.xz.xz,6
max-realizability_wt-power-distribution_4_4.wcnf.xz.xz,6
quantum-circuit-graphstate_6_6_rigetti-agave_8.wcnf.xz.xz,6
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf.xz.xz,6
timetabling_wt-comp07.wcnf.xz.xz,6
IMLIB-depressed_81_7_16_1_7_5.wcnf.xz.xz,9
planning-bnn-inventory_2_5.wcnf.xz.xz,9
max-realizability_wt-power-distribution_2_2.wcnf.xz.xz,10
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_9_DNF_1_15.wcnf.xz.xz,10
planning-bnn-inventory_4_6.wcnf.xz.xz,10
quantum-circuit-qaoa_4_16_ibmq-casablanca_7.wcnf.xz.xz,12
planning-bnn-inventory_4_7.wcnf.xz.xz,15
quantum-circuit-qftentangled_4_21_ibmq-casablanca_7.wcnf.xz.xz,15
quantum-circuit-qpeexact_5_26_ibmq-casablanca_7.wcnf.xz.xz,15
quantum-circuit-qpeinexact_5_26_ibmq-casablanca_7.wcnf.xz.xz,15
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_2_CNF_4_10.wcnf.xz.xz,16
planning-bnn-inventory_2_6.wcnf.xz.xz,16
planning-bnn-inventory_4_8.wcnf.xz.xz,17
max-realizability_wt-power-distribution_9_4.wcnf.xz.xz,18
max-realizability_wt-power-distribution_9_5.wcnf.xz.xz,18
planning-bnn-inventory_2_7.wcnf.xz.xz,18
preference_planning_wt-WCNF_storage_p03.wcnf.xz.xz,18
quantum-circuit-qftentangled_4_39_rigetti-agave_8.wcnf.xz.xz,18
timetabling_wt-comp04.lp.sm-extracted.wcnf.xz.xz,18
timetabling_wt-comp16.wcnf.xz.xz,18
metro_wt-metro_9_9_10_35_13_7_500_2_1.lp.sm-extracted.wcnf.xz.xz,22
quantum-circuit-portfoliovqe_4_18_ibmq-casablanca_7.wcnf.xz.xz,24
quantum-circuit-qgan_6_15_ibmq-casablanca_7.wcnf.xz.xz,24
quantum-circuit-su2random_4_18_ibmq-casablanca_7.wcnf.xz.xz,24
timetabling_wt-comp02.wcnf.xz.xz,24
quantum-circuit-grover-noancilla_4_52_ibmq-casablanca_7.wcnf.xz.xz,27
timetabling_wt-comp06.wcnf.xz.xz,27
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_5_CNF_3_5.wcnf.xz.xz,28
quantum-circuit-qwalk-v-chain_3_30_ibmq-casablanca_7.wcnf.xz.xz,30
metro_wt-metro_9_8_7_30_10_6_500_1_6.lp.sm-extracted.wcnf.xz.xz,31
metro_wt-metro_9_9_10_35_13_7_500_2_2.lp.sm-extracted.wcnf.xz.xz,32
quantum-circuit-portfoliovqe_4_18_rigetti-agave_8.wcnf.xz.xz,33
metro_wt-metro_9_9_10_35_13_7_500_2_4.lp.sm-extracted.wcnf.xz.xz,35
abstraction-refinement_wt-polysite-bloat.wcnf.xz.xz,36
quantum-circuit-realamprandom_4_72_rigetti-agave_8.wcnf.xz.xz,36
metro_wt-metro_9_9_10_35_13_7_500_2_7.lp.sm-extracted.wcnf.xz.xz,37
max-realizability_wt-power-distribution_8_2.wcnf.xz.xz,40
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_4_CNF_3_15.wcnf.xz.xz,41
metro_wt-metro_9_8_7_30_10_6_500_1_3.lp.sm-extracted.wcnf.xz.xz,44
frb_wt-frb10-6-1.wcnf.xz.xz,50
frb_wt-frb10-6-5.wcnf.xz.xz,50
quantum-circuit-su2random_5_30_ibmq-london_5.wcnf.xz.xz,51
quantum-circuit-twolocalrandom_5_30_ibmq-london_5.wcnf.xz.xz,51
timetabling_wt-comp14.wcnf.xz.xz,51
metro_wt-metro_9_8_7_22_10_6_500_1_1.lp.sm-extracted.wcnf.xz.xz,52
metro_wt-metro_9_8_7_22_10_6_500_1_9.lp.sm-extracted.wcnf.xz.xz,52
pseudoBoolean_wt-normalized-factor-size=9-P=53-Q=151.opb.wcnf.xz.xz,53
timetabling_wt-comp19.wcnf.xz.xz,57
pseudoBoolean_wt-normalized-factor-size=9-P=59-Q=419.opb.wcnf.xz.xz,59
max-realizability_wt-power-distribution_10_3.wcnf.xz.xz,60
max-realizability_wt-power-distribution_10_5.wcnf.xz.xz,60
max-realizability_wt-power-distribution_10_7.wcnf.xz.xz,60
metro_wt-metro_9_8_7_22_10_6_500_1_2.lp.sm-extracted.wcnf.xz.xz,60
synplicate_new-synplicate_synthetic_dag_run1_17_size_5_ms_0_25_0_erm.wcnf.xz.xz,66
timetabling_wt-comp21.wcnf.xz.xz,74
pseudoBoolean_wt-normalized-factor-size=9-P=79-Q=257.opb.wcnf.xz.xz,79
pseudoBoolean_wt-normalized-factor-size=9-P=83-Q=367.opb.wcnf.xz.xz,83
pseudoBoolean_wt-normalized-factor-size=9-P=89-Q=487.opb.wcnf.xz.xz,89
metro_wt-metro_8_8_5_20_10_6_500_1_2.lp.sm-extracted.wcnf.xz.xz,91
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_3_CNF_5_15.wcnf.xz.xz,94
metro_wt-inst2.lp.sm-extracted.wcnf.xz.xz,97
