instance, best_cost (-1 -> not known), weighted, unweighted, any-time?
max-realizability_wt-power-distribution_3_7.wcnf,1,True,False,False
max-realizability_wt-power-distribution_3_8.wcnf,1,True,False,False
IMLIB-depressed_81_60_16_1_7_5.wcnf,2,True,False,False
IMLIB-pima_44_27_16_1_6_5.wcnf,2,True,False,False
IMLIB-transfusion_85_8_8_1_2_5.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_0.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N6_H21_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N6_H21_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_4.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N8_H38_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N8_H38_4.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_4.wcnf,2,True,False,False
spot5_wt-8.wcsp.log.wcnf,2,True,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,2,True,False,True
timetabling_wt-EA12.lp.sm-extracted.wcnf,2,True,False,False
max-realizability_wt-power-distribution_1_7.wcnf,3,True,False,False
preference_planning_wt-WCNF_pathways_p02.wcnf,3,True,False,False
preference_planning_wt-WCNF_storage_p01.wcnf,3,True,False,False
timetabling_wt-comp07.lp.sm-extracted.wcnf,3,True,False,True
IMLIB-depressed_81_6_16_1_7_5.wcnf,4,True,False,False
IMLIB-depressed_81_62_16_1_7_5.wcnf,4,True,False,False
IMLIB-pima_44_13_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_24_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_4_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_42_15_1_6_5.wcnf,4,True,False,False
IMLIB-wdbc_32_16_16_1_2_5.wcnf,4,True,False,False
timetabling_wt-comp10.wcnf,4,True,False,True
IMLIB-ionosphere_40_11_8_2_2_5.wcnf,5,True,False,False
IMLIB-transfusion_85_7_8_1_2_5.wcnf,5,True,False,False
preference_planning_wt-WCNF_storage_p02.wcnf,5,True,False,False
haplotyping-pedigrees_wt-ped2.B.recomb1-0.01-3.wcnf,6,True,False,False
IMLIB-depressed_81_48_16_1_7_5.wcnf,6,True,False,False
IMLIB-depressed_81_55_16_1_7_5.wcnf,6,True,False,False
IMLIB-depressed_81_61_16_1_7_5.wcnf,6,True,False,False
max-realizability_wt-power-distribution_4_4.wcnf,6,True,False,False
quantum-circuit-graphstate_6_6_rigetti-agave_8.wcnf,6,True,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf,6,True,False,True
timetabling_wt-comp07.wcnf,6,True,False,True
IMLIB-depressed_81_7_16_1_7_5.wcnf,9,True,False,False
planning-bnn-inventory_2_5.wcnf,9,True,False,False
max-realizability_wt-power-distribution_2_2.wcnf,10,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_9_DNF_1_15.wcnf,10,True,False,False
planning-bnn-inventory_4_6.wcnf,10,True,False,False
quantum-circuit-qaoa_4_16_ibmq-casablanca_7.wcnf,12,True,False,False
planning-bnn-inventory_4_7.wcnf,15,True,False,True
quantum-circuit-qftentangled_4_21_ibmq-casablanca_7.wcnf,15,True,False,False
quantum-circuit-qpeexact_5_26_ibmq-casablanca_7.wcnf,15,True,False,False
quantum-circuit-qpeinexact_5_26_ibmq-casablanca_7.wcnf,15,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_2_CNF_4_10.wcnf,16,True,False,False
planning-bnn-inventory_2_6.wcnf,16,True,False,False
planning-bnn-inventory_4_8.wcnf,17,True,False,True
max-realizability_wt-power-distribution_9_4.wcnf,18,True,False,False
max-realizability_wt-power-distribution_9_5.wcnf,18,True,False,False
planning-bnn-inventory_2_7.wcnf,18,True,False,False
preference_planning_wt-WCNF_storage_p03.wcnf,18,True,False,False
quantum-circuit-qftentangled_4_39_rigetti-agave_8.wcnf,18,True,False,False
timetabling_wt-comp04.lp.sm-extracted.wcnf,18,True,False,False
timetabling_wt-comp16.wcnf,18,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_1.lp.sm-extracted.wcnf,22,True,False,False
quantum-circuit-portfoliovqe_4_18_ibmq-casablanca_7.wcnf,24,True,False,False
quantum-circuit-qgan_6_15_ibmq-casablanca_7.wcnf,24,True,False,True
quantum-circuit-su2random_4_18_ibmq-casablanca_7.wcnf,24,True,False,False
timetabling_wt-comp02.wcnf,24,True,False,True
quantum-circuit-grover-noancilla_4_52_ibmq-casablanca_7.wcnf,27,True,False,True
timetabling_wt-comp06.wcnf,27,True,False,True
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_5_CNF_3_5.wcnf,28,True,False,False
quantum-circuit-qwalk-v-chain_3_30_ibmq-casablanca_7.wcnf,30,True,False,False
metro_wt-metro_9_8_7_30_10_6_500_1_6.lp.sm-extracted.wcnf,31,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_2.lp.sm-extracted.wcnf,32,True,False,False
quantum-circuit-portfoliovqe_4_18_rigetti-agave_8.wcnf,33,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_4.lp.sm-extracted.wcnf,35,True,False,False
abstraction-refinement_wt-polysite-bloat.wcnf,36,True,False,True
quantum-circuit-realamprandom_4_72_rigetti-agave_8.wcnf,36,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_7.lp.sm-extracted.wcnf,37,True,False,False
max-realizability_wt-power-distribution_8_2.wcnf,40,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_4_CNF_3_15.wcnf,41,True,False,False
metro_wt-metro_9_8_7_30_10_6_500_1_3.lp.sm-extracted.wcnf,44,True,False,False
frb_wt-frb10-6-1.wcnf,50,True,False,False
frb_wt-frb10-6-5.wcnf,50,True,False,False
quantum-circuit-su2random_5_30_ibmq-london_5.wcnf,51,True,False,False
quantum-circuit-twolocalrandom_5_30_ibmq-london_5.wcnf,51,True,False,False
timetabling_wt-comp14.wcnf,51,True,False,False
metro_wt-metro_9_8_7_22_10_6_500_1_1.lp.sm-extracted.wcnf,52,True,False,False
metro_wt-metro_9_8_7_22_10_6_500_1_9.lp.sm-extracted.wcnf,52,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=53-Q=151.opb.wcnf,53,True,False,False
timetabling_wt-comp19.wcnf,57,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=59-Q=419.opb.wcnf,59,True,False,False
max-realizability_wt-power-distribution_10_3.wcnf,60,True,False,False
max-realizability_wt-power-distribution_10_5.wcnf,60,True,False,False
max-realizability_wt-power-distribution_10_7.wcnf,60,True,False,True
metro_wt-metro_9_8_7_22_10_6_500_1_2.lp.sm-extracted.wcnf,60,True,False,False
synplicate_new-synplicate_synthetic_dag_run1_17_size_5_ms_0_25_0_erm.wcnf,66,True,False,True
timetabling_wt-comp21.wcnf,74,True,False,True
