Instance,Best-cost
ae_5_20_ibmq-casablanca_7.wcnf,15
af-synthesis_stb_50_100_3.wcnf,104
af-synthesis_stb_50_120_3.wcnf,100
af-synthesis_stb_50_140_1.wcnf,127
af-synthesis_stb_50_140_3.wcnf,96
af-synthesis_stb_50_140_8.wcnf,113
af-synthesis_stb_50_160_5.wcnf,113
af-synthesis_stb_50_180_1.wcnf,130
af-synthesis_stb_50_20_8.wcnf,120
af-synthesis_stb_50_200_4.wcnf,105
af-synthesis_stb_50_200_5.wcnf,102
af-synthesis_stb_50_200_6.wcnf,111
af-synthesis_stb_50_40_0.wcnf,111
af-synthesis_stb_50_40_8.wcnf,117
af-synthesis_stb_50_60_3.wcnf,115
af-synthesis_stb_50_80_7.wcnf,115
af-synthesis_stb_50_80_8.wcnf,116
amazon.dimacs.wcnf,113575
ann.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,161
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,314
ann.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_4.wcnf,255
ar-1.wcnf,25062
ar-2.wcnf,394748
ar-3.wcnf,43814
archlinux.dimacs.wcnf,11744
auc.cat_paths_60_100_0006.txt.wcnf,70929
auc.cat_paths_60_150_0007.txt.wcnf,100364
auc.cat_paths_60_170_0007.txt.wcnf,94165
auc.cat_paths_60_200_0009.txt.wcnf,157873
auc.cat_reg_60_110_0004.txt.wcnf,75602
auc.cat_reg_60_130_0001.txt.wcnf,104032
auc.cat_reg_60_160_0002.txt.wcnf,164897
auc.cat_sched_60_100_0003.txt.wcnf,34771
auc.cat_sched_60_120_0004.txt.wcnf,82385
auc.cat_sched_60_150_0001.txt.wcnf,155865
auc.cat_sched_60_150_0005.txt.wcnf,72866
auc.cat_sched_60_150_0009.txt.wcnf,58699
auc.cat_sched_60_160_0003.txt.wcnf,118883
auc.cat_sched_60_200_0005.txt.wcnf,172768
auc.cat_sched_60_80_0005.txt.wcnf,34950
auc.cat_sched_60_90_0001.txt.wcnf,82847
aus.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_3.wcnf,207
aus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4.wcnf,307
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,319
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,283
aus.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6.wcnf,288
bf2030fvcons.wcnf,3271
bf2030fvslack.wcnf,245250
bn-human-BNU_1_0025865_session_1-bg.wcnf,119321020
bnn_mnist_0_label7_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_1_label2_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_11_label6_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_17_label7_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_9_label9_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_back_image_12_label6_adversarial_norm_inf_totalizer.wcnf,91
bnn_mnist_back_image_14_label9_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_back_image_3_label6_adversarial_norm_inf_totalizer.wcnf,87
bnn_mnist_back_image_32_label3_adversarial_norm_inf_totalizer.wcnf,2
bnn_mnist_back_image_5_label2_adversarial_norm_inf_totalizer.wcnf,3
bnn_mnist_back_image_9_label1_adversarial_norm_inf_totalizer.wcnf,44
bnn_mnist_rot_0_label6_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_rot_1_label0_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_rot_10_label4_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_rot_15_label8_adversarial_norm_inf_totalizer.wcnf,1
bnn_mnist_rot_3_label2_adversarial_norm_inf_totalizer.wcnf,1
BrazilInstance1.xml.wcnf,39
BrazilInstance2.xml.wcnf,5
BrazilInstance4.xml.wcnf,55
BrazilInstance5.xml.wcnf,20
BrazilInstance6.xml.wcnf,54
BrazilInstance7.xml.wcnf,96
cap131.wcsp.wcnf,7934385
cap132.wcsp.wcnf,8514942
cap71.wcsp.wcnf,9326144
cap72.wcsp.wcnf,9777981
cap91.wcsp.wcnf,7966472
cap92.wcsp.wcnf,8547029
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,232
causal_hailfinder_9_1000.wcnf,54962937
causal_Heart_10_212.wcnf,1453924
causal_Hepatitis_10_126.wcnf,405352
causal_insurance_9_100.wcnf,3211332
causal_Link_10_1000.wcnf,1917853
causal_Meta_7_528.wcnf,55120
causal_n5_i5_N1000_uai13_log_int.wcnf,46030289
causal_n6_i1_N10000_uai14_log_int.wcnf,1510725680
causal_n6_i2_N500_uai13_log_int.wcnf,877436991
causal_n6_i6_N1000_uai14_log_int.wcnf,126257527700
causal_n7_i10_N1000_uai14_log_int.wcnf,3246397504
causal_n7_i8_N10000_uai14_log_int.wcnf,11486104693
causal_Pigs_6_10000.wcnf,25539892
causal_Statlog_7_752.wcnf,380356
causal_Voting_7_435.wcnf,930263
causal_Water_7_380.wcnf,414473
channel-500x100x100-b050.wcnf,26535515
comp04.wcnf,35
comp05.wcnf,406
comp06.lp.sm-extracted.wcnf,14
comp06.wcnf,27
comp07.wcnf,6
comp08.lp.sm-extracted.wcnf,19
comp10.lp.sm-extracted.wcnf,2
comp15.wcnf,67
comp17.wcnf,56
CSG140-140-46.wcnf,16960
CSG140-140-6.wcnf,52385
CSG150-150-55.wcnf,27533
CSG40-40-95.wcnf,8847
CSG60-60-88.wcnf,7714
CSGNaive140-140-0.wcnf,18185
CSGNaive140-140-6.wcnf,56309
CSGNaive150-150-55.wcnf,30495
CSGNaive60-60-53.wcnf,9829
CSGNaive70-70-91.wcnf,11177
dblp.dimacs.wcnf,25014
dds4.wcnf,UNKNOWN
delaunay_n24.wcnf,229956181
dim.brock800_3.clq.wcnf,1079
dim.c-fat200-1.clq.wcnf,14
dim.c-fat500-1.clq.wcnf,10
dim.hamming10-4.clq.wcnf,1683
dim.johnson8-4-4.clq.wcnf,4154
dim.MANN_a81.clq.wcnf,1995
dim.san400_0.7_3.clq.wcnf,1201
dim.san400_0.9_1.clq.wcnf,1604
dir.1403.wcsp.dir.wcnf,459246
dir.1502.wcsp.dir.wcnf,28042
dir.1506.wcsp.dir.wcnf,354517
dir.28.wcsp.dir.wcnf,270105
dir.404.wcsp.dir.wcnf,114
dir.408.wcsp.dir.wcnf,6228
dir.5.wcsp.dir.wcnf,261
dir.507.wcsp.dir.wcnf,27390
dir.509.wcsp.dir.wcnf,36446
dir.54.wcsp.dir.wcnf,37
downcast-antlr.wcnf,76250
downcast-avrora.wcnf,46642
downcast-hsqldb.wcnf,30207
downcast-pmd.wcnf,4227
downcast-xalan.wcnf,65491
drmx-am12-outof-40-ecardn-w.wcnf,28
drmx-am12-outof-40-esortn-w.wcnf,28
drmx-am16-outof-45-emtot-w.wcnf,29
drmx-am16-outof-45-eseqc-w.wcnf,29
drmx-am20-outof-50-ekmtot-w.wcnf,30
drmx-am20-outof-50-emtot-w.wcnf,30
drmx-am20-outof-50-eseqc-w.wcnf,30
drmx-am24-outof-55-emtot-w.wcnf,31
drmx-am24-outof-55-etot-w.wcnf,31
drmx-am28-outof-60-emtot-w.wcnf,32
drmx-am28-outof-60-eseqc-w.wcnf,32
drmx-am28-outof-60-etot-w.wcnf,32
drmx-am32-outof-70-ecardn-w.wcnf,38
drmx-am32-outof-70-ekmtot-w.wcnf,38
drmx-am32-outof-70-emtot-w.wcnf,38
drmx-am32-outof-70-etot-w.wcnf,38
EA01.lp.sm-extracted.wcnf,55
eas.310-15.wcnf,30501
eas.310-24.wcnf,24752
eas.310-28.wcnf,33151
eas.310-29.wcnf,34431
eas.310-33.wcnf,35463
eas.310-43.wcnf,33138
eas.310-44.wcnf,50871
eas.310-55.wcnf,21952
eas.310-56.wcnf,46155
eas.310-74.wcnf,21867
eas.310-91.wcnf,37183
eas.310-93.wcnf,19146
eas.310-94.wcnf,26160
eas.310-95.wcnf,25854
eas.310-97.wcnf,35249
ebay.dimacs.wcnf,123941
f1-DataDisplay_0_order4.seq-A-2-1-EDCBAir.wcnf,6223203
f1-DataDisplay_0_order4.seq-A-2-2-abcdeir.wcnf,481429
f1-DataDisplay_0_order4.seq-A-2-2-irabcde.wcnf,2220415
f1-DataDisplay_0_order4.seq-A-3-1-EDCBAir.wcnf,6240245
f1-DataDisplay_0_order4.seq-A-3-1-irabcde.wcnf,5960556
f1-DataDisplay_0_order4.seq-A-3-2-irabcde.wcnf,5955300
f1-DataDisplay_0_order4.seq-B-2-2-abcdeir.wcnf,53533
f1-DataDisplay_0_order4.seq-B-2-2-irEDCBA.wcnf,2273346
f2030.wcnf,4195
f49-DC_TotalLoss.seq-A-2-1-abcdeir.wcnf,27698412327
f49-DC_TotalLoss.seq-A-2-1-irEDCBA.wcnf,14779649425
f49-DC_TotalLoss.seq-A-2-combined-irabcde.wcnf,14735114187
f49-DC_TotalLoss.seq-A-3-2-irEDCBA.wcnf,87222797189
f49-DC_TotalLoss.seq-B-2-2-abcdeir.wcnf,44321234
f49-DC_TotalLoss.seq-B-2-combined-EDCBAir.wcnf,83838199998
f49-DC_TotalLoss.seq-B-3-combined-EDCBAir.wcnf,117355113043
f49-DC_TotalLoss.seq-B-3-combined-irabcde.wcnf,87177360578
facebook1.dimacs.wcnf,45581
FinlandSecondarySchool.xml.wcnf,108
github.dimacs.wcnf,187405
graphstate_6_6_rigetti-agave_8.wcnf,6
grover-noancilla_4_52_rigetti-agave_8.wcnf,42
grover-v-chain_4_52_ibmq-casablanca_7.wcnf,27
guardian.dimacs.wcnf,160777
har.330-55.wcnf,47945
hea.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4.wcnf,39
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,83
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,107
hea.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,83
hugebubbles-00020.wcnf,521004590
inf-road-usa.wcnf,656533235
inst10.lp.sm-extracted.wcnf,105
inst2.lp.sm-extracted.wcnf,97
inst22.lp.sm-extracted.wcnf,180
instance1.wcnf,607
instance10.wcnf,5274
instance11.wcnf,3457
instance12.wcnf,4868
instance2.wcnf,828
instance3.wcnf,1002
instance4.wcnf,1726
instance5.wcnf,1196
instance6.wcnf,1992
instance7.wcnf,1086
instance8.wcnf,1524
instance9.wcnf,572
inventory_2_5.wcnf,9
inventory_2_6.wcnf,16
inventory_2_7.wcnf,18
inventory_4_6.wcnf,10
inventory_4_7.wcnf,15
inventory_4_8.wcnf,17
ItalyInstance1.xml.wcnf,12
ItalyInstance4.xml.wcnf,35
k100-14-38.rna.pre.wcnf,1953
k100-20-63.rna.pre.wcnf,2030
k100-38-60.rna.pre.wcnf,1878
k100-40-52.rna.pre.wcnf,1861
k100-73-76.rna.pre.wcnf,2008
k100-78-85.rna.pre.wcnf,1744
k50-18-30.rna.pre.wcnf,462
k50-21-38.rna.pre.wcnf,497
limits-10-10_data-1_inst-005_60m.sm-extracted.wcnf,1674983
limits-10-10_data-1_inst-010_30m.sm-extracted.wcnf,19021817
limits-10-10_data-1_inst-018_60m.sm-extracted.wcnf,4638351
limits-10-10_data-1_inst-044_30m.sm-extracted.wcnf,30028201
limits-10-10_data-1_inst-045_30m.sm-extracted.wcnf,4726335
limits-10-10_data-1_inst-048_60m.sm-extracted.wcnf,1592498
limits-10-10_data-1_inst-059_30m.sm-extracted.wcnf,16994335
limits-10-10_data-1_inst-060_60m.sm-extracted.wcnf,3688454
limits-10-10_data-1_inst-068_30m.sm-extracted.wcnf,5536663
limits-10-10_data-1_inst-122_30m.sm-extracted.wcnf,15804703
limits-10-10_data-1_inst-137_30m.sm-extracted.wcnf,16167552
limits-10-10_data-1_inst-182_30m.sm-extracted.wcnf,14625180
limits-10-10_data-2_inst-017_60m.sm-extracted.wcnf,7295683
limits-10-10_data-2_inst-030_30m.sm-extracted.wcnf,33006575
limits-10-10_data-3_inst-002_30m.sm-extracted.wcnf,24222877
limits-10-10_data-3_inst-028_60m.sm-extracted.wcnf,7231899
lisbon-wedding-1-17.wcnf,UNKNOWN
lisbon-wedding-1-18.wcnf,961
lisbon-wedding-1-19.wcnf,UNKNOWN
lisbon-wedding-10-17.wcnf,377
lisbon-wedding-10-18.wcnf,378
lisbon-wedding-10-19.wcnf,380
lisbon-wedding-2-18.wcnf,1137
lisbon-wedding-3-17.wcnf,1035
lisbon-wedding-3-18.wcnf,UNKNOWN
lisbon-wedding-4-18.wcnf,803
lisbon-wedding-5-17.wcnf,802
lisbon-wedding-5-19.wcnf,805
lisbon-wedding-7-19.wcnf,424
